security_id,attribute_id,value
1,1,1.0
1,2,2.0
1,3,3.0
1,4,4.0
1,5,5.0
1,6,6.0
1,7,7.0
1,8,8.0
1,9,9.0
1,10,10.0
2,1,2.0
2,2,4.0
2,3,6.0
2,4,8.0
2,5,10.0
2,6,12.0
2,7,14.0
2,8,16.0
2,9,18.0
2,10,20.0
3,1,3.0
3,2,6.0
3,3,9.0
3,4,12.0
3,5,15.0
3,6,18.0
3,7,21.0
3,8,24.0
3,9,27.0
3,10,30.0
4,1,4.0
4,2,8.0
4,3,12.0
4,4,16.0
4,5,20.0
4,6,24.0
4,7,28.0
4,8,32.0
4,9,36.0
4,10,40.0
5,1,5.0
5,2,10.0
5,3,15.0
5,4,20.0
5,5,25.0
5,6,30.0
5,7,35.0
5,8,40.0
5,9,45.0
5,10,50.0
6,1,6.0
6,2,12.0
6,3,18.0
6,4,24.0
6,5,30.0
6,6,36.0
6,7,42.0
6,8,48.0
6,9,54.0
6,10,60.0
7,1,7.0
7,2,14.0
7,3,21.0
7,4,28.0
7,5,35.0
7,6,42.0
7,7,49.0
7,8,56.0
7,9,63.0
7,10,70.0
8,1,8.0
8,2,16.0
8,3,24.0
8,4,32.0
8,5,40.0
8,6,48.0
8,7,56.0
8,8,64.0
8,9,72.0
8,10,80.0
9,1,9.0
9,2,18.0
9,3,27.0
9,4,36.0
9,5,45.0
9,6,54.0
9,7,63.0
9,8,72.0
9,9,81.0
9,10,90.0
10,1,10.0
10,2,20.0
10,3,30.0
10,4,40.0
10,5,50.0
10,6,60.0
10,7,70.0
10,8,80.0
10,9,90.0
10,10,100.0